ds_id,X_min,X_max,Y_min,Y_max,T_min,T_max,Grupo,tile_id,name,X_size,Y_size,
269,69,70,81,153,1,1,4,1,Tile1,2,73,
259,71,71,78,153,1,1,4,2,Tile2,1,76,
273,72,73,83,147,1,1,4,3,Tile3,2,65,
286,74,77,86,145,1,1,4,4,Tile4,4,60,
310,78,79,92,95,1,1,4,5,Tile5,2,4,
201,80,81,55,110,1,1,7,6,Tile6,2,56,
202,82,84,55,153,1,1,7,7,Tile7,3,99,
203,85,87,55,153,1,1,7,8,Tile8,3,99,
204,88,89,55,153,1,1,7,9,Tile9,2,99,
209,90,91,57,153,1,1,7,10,Tile10,2,97,
210,92,94,57,153,1,1,7,11,Tile11,3,97,
198,95,96,54,153,1,1,7,12,Tile12,2,100,
183,97,99,50,153,1,1,7,13,Tile13,3,104,
168,100,102,44,153,1,1,7,14,Tile14,3,110,
163,103,105,41,153,1,1,7,15,Tile15,3,113,
187,106,107,51,153,1,1,7,16,Tile16,2,103,
199,108,110,54,153,1,1,7,17,Tile17,3,100,
138,111,115,33,125,1,1,7,18,Tile18,5,93,x
313,116,117,94,97,1,1,7,19,Tile19,2,4,
314,118,119,94,153,1,1,1,20,Tile20,2,60,
262,120,121,79,153,1,1,1,21,Tile21,2,75,
200,122,123,54,153,1,1,1,22,Tile22,2,100,
167,124,124,43,153,1,1,1,23,Tile23,1,111,
184,125,126,50,153,1,1,1,24,Tile24,2,104,
123,127,129,31,153,1,1,1,25,Tile25,3,123,
131,130,141,32,153,1,1,1,26,Tile26,12,122,x
320,78,79,96,96,1,1,4,27,Tile27,2,1,
324,78,79,97,97,1,1,4,28,Tile28,2,1,
328,78,79,98,98,1,1,4,29,Tile29,2,1,
329,116,117,98,98,1,1,1,30,Tile30,2,1,
332,78,79,99,99,1,1,4,31,Tile31,2,1,
333,116,117,99,100,1,1,7,32,Tile32,2,2,
337,78,79,100,100,1,1,4,33,Tile33,2,1,
340,78,79,101,101,1,1,4,34,Tile34,2,1,
341,116,117,101,118,1,1,1,35,Tile35,2,18,
345,78,79,102,102,1,1,4,36,Tile36,2,1,
348,78,79,103,103,1,1,4,37,Tile37,2,1,
351,78,79,104,132,1,1,4,38,Tile38,2,29,
375,80,81,111,111,1,1,4,39,Tile39,2,1,
378,80,81,112,112,1,1,4,40,Tile40,2,1,
383,80,81,113,113,1,1,4,41,Tile41,2,1,
387,80,81,114,114,1,1,4,42,Tile42,2,1,
390,80,81,115,115,1,1,4,43,Tile43,2,1,
396,80,81,116,116,1,1,4,44,Tile44,2,1,
399,80,81,117,117,1,1,4,45,Tile45,2,1,
408,80,81,118,118,1,1,4,46,Tile46,2,1,
414,80,81,119,147,1,1,7,47,Tile47,2,29,
415,116,117,119,119,1,1,1,48,Tile48,2,1,
419,116,117,120,120,1,1,1,49,Tile49,2,1,
424,116,117,121,121,1,1,1,50,Tile50,2,1,
430,116,117,122,122,1,1,1,51,Tile51,2,1,
435,116,117,123,153,1,1,1,52,Tile52,2,31,
452,111,115,126,129,1,1,7,53,Tile53,5,4,
471,111,115,130,132,1,1,7,54,Tile54,5,3,
490,78,79,133,133,1,1,4,55,Tile55,2,1,
491,111,112,133,135,1,1,7,56,Tile56,2,3,
492,113,115,133,153,1,1,1,57,Tile57,3,21,
499,78,79,134,134,1,1,4,58,Tile58,2,1,
504,78,79,135,135,1,1,4,59,Tile59,2,1,
511,78,79,136,136,1,1,4,60,Tile60,2,1,
512,111,112,136,136,1,1,1,61,Tile61,2,1,
520,78,79,137,137,1,1,4,62,Tile62,2,1,
521,111,112,137,137,1,1,1,63,Tile63,2,1,
528,78,79,138,138,1,1,4,64,Tile64,2,1,
529,111,112,138,138,1,1,1,65,Tile65,2,1,
537,78,79,139,144,1,1,7,66,Tile66,2,6,
538,111,112,139,139,1,1,1,67,Tile67,2,1,
544,111,112,140,140,1,1,1,68,Tile68,2,1,
